No_Prob ; HTN ; CORE 
01 ; 11 ;11 
02 ; 17 ;17 
03 ; 23 ;23 
04 ; 29 ;29 
05 ; 35 ;35 
06 ; 41 ;41 
07 ; 47 ;47 
08 ; 53 ;53 
09 ; 59 ;59 
10 ; 65 ;65 
11 ; 71 ;71 
12 ; 77 ;77 
13 ; 83 ;83 
14 ; 89 ;89 
15 ; 95 ;95 
16 ; 101 ;101 
17 ; 107 ;107 
18 ; 113 ;113 
19 ; 119 ;119 
20 ; 125 ;125 
