No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.06; 0.08;
02 ; 0.07; 0.133;
03 ; 0.08; 0.156;
04 ; 0.09; 0.249;
05 ; 0.10; 0.327;
06 ; 0.11; 0.437;
07 ; 0.12; 0.564;
08 ; 0.13; 0.725;
09 ; 0.14; 0.865;-1
10 ; 0.17; 1.099;-1
11 ; 0.17; 1.346;
12 ; 0.19; 1.791;
13 ; 0.19; 2.255;-1
14 ; 0.21; 2.769;-1
15 ; 0.24; 3.514;-1
16 ; 0.26; 4.005;-1
17 ; 0.28; 4.898;
18 ; 0.30; 5.664;
19 ; 0.32; 7.015;
20 ; 0.34; 8.063;
