No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.09; 0.063;
02 ; 0.15; 0.09;
03 ; 0.21; 0.142;
04 ; 0.30; 0.156;
05 ; 0.40; 0.185;-1
06 ; 0.83; 0.252;-1
07 ; 0.25; 0.17;
08 ; 0.48; 0.184;-1
09 ; 0.87; 0.303;-1
10 ; 0.60; 0.228;
11 ; 1.29; 0.413;-1
12 ; 2.44; 0.58;-1
13 ; 0.77; 0.313;
14 ; 1.83; 0.441;-1
15 ; 3.24; 0.85;-1
16 ; 0.67; 0.324;-1
17 ; 1.44; 0.407;-1
18 ; 2.74; 0.891;-1
19 ; 2.44; 0.855;-1
20 ; 9.85; 1.779;-1
21 ; -1; 6.29;-1
22 ; -1; 26.291;-1
