No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.28; 0.336;
02 ; 0.42; 0.429;-1
03 ; 0.58; 0.458;-1
04 ; 0.76; 0.551;
05 ; 0.92; 0.788;
06 ; 1.17; 0.695;
07 ; 1.26; 0.756;
08 ; 0.54; 1.083;-1
09 ; 0.81; 1.088;
10 ; 1.05; 1.36;
11 ; 1.55; 1.561;
12 ; 1.73; 2.265;
13 ; 2.19; 2.324;
14 ; 2.77; 2.428;
15 ; 0.86; 3.441;-1
16 ; 1.34; 5.014;
17 ; 1.97; 6.709;
18 ; 2.76; 8.518;
19 ; 3.62; 9.831;
20 ; 4.64; 11.737;
