No_Prob ; HTN ; CORE ; PDDL 
01 ; 0,03; 0.072;
02 ; 0,04; 0.105;
03 ; 0,05; 0.15;
04 ; 0,07; 0.194;
05 ; 0,09; 0.303;
06 ; 0,09; 0.444;
07 ; 0,10; 0.571;
08 ; 0,12; 0.652;
09 ; 0,13; 0.75;
10 ; 0,14; 0.938;
11 ; 0,14; 1.559;
12 ; 0,18; 2.289;
13 ; 0,23; 2.626;
14 ; 0,24; 3.367;
15 ; 0,21; 4.288;
16 ; 0,24; 4.201;
17 ; 0,25; 5.658;
18 ; 0,27; 7.889;
19 ; 0,28; 10.385;
20 ; 0,32; 10.959;
