No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.10; 0.084;
02 ; 0.41; 0.221;
03 ; 0.34; 0.14;
04 ; 0.12;;
05 ; 0.41;;-1
06 ; 2.12;-1;
07 ; 0.24;;
08 ; 1.18;;-1
09 ; 0.31;;
10 ; 4.28; 19.229;
11 ; ; 111.43;
12 ; 0.22;;
13 ; ;;
14 ; ;;
15 ; 2.30;-1;
16 ; ;;
17 ; 1.90; 0.316;
18 ; 1.87;;
19 ; 1.29; 1.007;
20 ; 1.76; 0.256;
21 ; 1.43;;-1
22 ; 4.68;-1;
23 ; 1.91;-1;-1
24 ; 1.34;;
25 ; 0.10; 0.062;
26 ; 0.41;-1;
27 ; 0.23; 0.307;
28 ; 0.11; 0.147;
29 ; 0.26;-1;
30 ; 0.77;-1;
