No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.06; 0.044;
02 ; 0.07; 0.072;
03 ; 0.08; 0.052;
04 ; 0.09; 0.056;
05 ; 0.11; 0.066;
06 ; 0.10; 0.06;
07 ; 0.12; 0.089;-1
08 ; 0.18; 0.091;-1
09 ; 0.18; 0.123;-1
10 ; 0.18; 0.103;-1
11 ; 0.18; 0.105;-1
12 ; 0.25; 1.168;-1
13 ; ; 0.143;-1
14 ; 0.30; 0.132;
15 ; 0.41; 0.176;
16 ; 0.45; 0.244;
17 ; 0.51; 0.17;
18 ; 0.26; 0.116;-1
19 ; 6.15; 0.235;
20 ; 0.86;-1;
