No_Prob ; HTN ; CORE ; PDDL 
01 ; 0.09; 0.058;
02 ; 0.09; 0.074;
03 ; 0.12; 0.092;
04 ; 0.12; 0.097;
05 ; 0.18; 0.139;
06 ; 0.16; 0.126;
07 ; 0.18; 0.12;
08 ; 0.23; 0.137;
09 ; 0.26; 0.162;
11 ; 0.28; 0.176;
12 ; 0.29; 0.213;-1
13 ; 0.29; 0.266;-1
14 ; 0.82; 0.365;-1
15 ; 1.08; 0.516;-1
16 ; 1.30; 0.537;-1
17 ; 1.59; 0.95;-1
18 ; 2.14; 0.93;-1
19 ; 2.40; 1.379;-1
20 ; 3.14; 1.613;-1
